director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combine
Andrew Ahn,Joel Kim Booster,Bowen Yang,Conrad Ricamora,Comedy Romance,fire island,Joel Kim Booster Bowen Yang Conrad Ricamora Andrew Ahn Comedy Romance
Chloe Okuno,Maika Monroe,Karl Glusman,Burn Gorman,Thriller Horror,watcher,Maika Monroe Karl Glusman Burn Gorman Chloe Okuno Thriller Horror
Rob Savage,Annie Hardy,unknown,unknown,Horror Thriller,dashcam,Annie Hardy unknown unknown Rob Savage Horror Thriller
Jeremiah Zagar,Adam Sandler,Queen Latifah,Ben Foster,Drama Comedy,hustle,Adam Sandler Queen Latifah Ben Foster Jeremiah Zagar Drama Comedy
Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,Laura Dern,Adventure Action Science Fiction,jurassic world dominion,Chris Pratt Bryce Dallas Howard Laura Dern Colin Trevorrow Adventure Action Science Fiction
Amanda Micheli,Jennifer Lopez,unknown,unknown,Documentary Music,jennifer lopez: halftime,Jennifer Lopez unknown unknown Amanda Micheli Documentary Music
Gaz Alazraki,Andy García,Gloria Estefan,Adria Arjona,Romance Comedy,father of the bride,Andy García Gloria Estefan Adria Arjona Gaz Alazraki Romance Comedy
Angus MacLane,Chris Evans,Keke Palmer,Peter Sohn,Animation Action Adventure Family Science Fiction,lightyear,Chris Evans Keke Palmer Peter Sohn Angus MacLane Animation Action Adventure Family Science Fiction
Joseph Kosinski,Chris Hemsworth,Miles Teller,Jurnee Smollett,Science Fiction Thriller,spiderhead,Chris Hemsworth Miles Teller Jurnee Smollett Joseph Kosinski Science Fiction Thriller
David Frankel,Bryan Cranston,Annette Bening,Rainn Wilson,Comedy Drama,jerry & marge go large,Bryan Cranston Annette Bening Rainn Wilson David Frankel Comedy Drama
Cooper Raiff,Cooper Raiff,Dakota Johnson,Raúl Castillo,Comedy Drama Romance,cha cha real smooth,Cooper Raiff Dakota Johnson Raúl Castillo Cooper Raiff Comedy Drama Romance
Sonja O'Hara,Shane West,Sarah Hay,Bruce Dern,Horror Thriller,mid-century,Shane West Sarah Hay Bruce Dern Sonja O'Hara Horror Thriller
Spencer Squire,Emma Roberts,John Gallagher Jr.,Michael Shannon,Drama Mystery Thriller,abandoned,Emma Roberts John Gallagher Jr. Michael Shannon Spencer Squire Drama Mystery Thriller
Mike Judge,Mike Judge,Gary Cole,Chris Diamantopoulos,Animation Comedy Science Fiction,beavis and butt-head do the universe,Mike Judge Gary Cole Chris Diamantopoulos Mike Judge Animation Comedy Science Fiction
Baz Luhrmann,Austin Butler,Tom Hanks,Olivia DeJonge,Drama History Music,elvis,Austin Butler Tom Hanks Olivia DeJonge Baz Luhrmann Drama History Music
Scott Derrickson,Ethan Hawke,Mason Thames,Madeleine McGraw,Horror Thriller,the black phone,Ethan Hawke Mason Thames Madeleine McGraw Scott Derrickson Horror Thriller
Patrick Hughes,Kevin Hart,Woody Harrelson,Kaley Cuoco,Action Comedy,the man from toronto,Kevin Hart Woody Harrelson Kaley Cuoco Patrick Hughes Action Comedy
Chris Williams,Karl Urban,Zaris-Angel Hator,Jared Harris,Animation Adventure Family Fantasy,the sea beast,Karl Urban Zaris-Angel Hator Jared Harris Chris Williams Animation Adventure Family Fantasy
Dean Fleischer-Camp,Jenny Slate,Rosa Salazar,Thomas Mann,Animation Comedy Family Drama,marcel the shell with shoes on,Jenny Slate Rosa Salazar Thomas Mann Dean Fleischer-Camp Animation Comedy Family Drama
Akin Omotoso,Uche Agada,Ral Agada,Jaden Osimuwa,Animation Family,rise,Uche Agada Ral Agada Jaden Osimuwa Akin Omotoso Animation Family
Greg Björkman,Clara Rugaard,Lewis Pullman,Lyrica Okano,Music Science Fiction Romance Drama,press play,Clara Rugaard Lewis Pullman Lyrica Okano Greg Björkman Music Science Fiction Romance Drama
Andrew Dosunmu,Gracie Marie Bradley,Niecy Nash,Aleyse Shannon,Fantasy Animation Romance Family,beauty,Gracie Marie Bradley Niecy Nash Aleyse Shannon Andrew Dosunmu Fantasy Animation Romance Family
Kyle Balda,Steve Carell,Taraji P. Henson,Michelle Yeoh,Animation Family,minions: the rise of gru,Steve Carell Taraji P. Henson Michelle Yeoh Kyle Balda Animation Family
John Michael McDonagh,Ralph Fiennes,Jessica Chastain,Matt Smith,Drama,the forgiven,Ralph Fiennes Jessica Chastain Matt Smith John Michael McDonagh Drama
Emma Holly Jones,Freida Pinto,Sope Dirisu,Oliver Jackson-Cohen,Comedy Romance History,mr. malcolm's list,Freida Pinto Sope Dirisu Oliver Jackson-Cohen Emma Holly Jones Comedy Romance History
Le-Van Kiet,Joey King,Dominic Cooper,Olga Kurylenko,Fantasy Action,the princess,Joey King Dominic Cooper Olga Kurylenko Le-Van Kiet Fantasy Action
James Cullen Bressack,Kevin Dillon,Mel Gibson,Shannen Doherty,Thriller Action,hot seat,Kevin Dillon Mel Gibson Shannen Doherty James Cullen Bressack Thriller Action
Michael Lewen,Talia Ryder,Jordan Fisher,Ayo Edebiri,Romance Drama,"hello, goodbye, and everything in between",Talia Ryder Jordan Fisher Ayo Edebiri Michael Lewen Romance Drama
Taika Waititi,Chris Hemsworth,Christian Bale,Tessa Thompson,Fantasy Action Comedy,thor: love and thunder,Chris Hemsworth Christian Bale Tessa Thompson Taika Waititi Fantasy Action Comedy
Trey Parker,Trey Parker,Matt Stone,April Stewart,Animation Comedy,south park the streaming wars part 2,Trey Parker Matt Stone April Stewart Trey Parker Animation Comedy
Paul Hoen,Paul Hoen,Milo Manheim,Meg Donnelly,Music Fantasy Comedy Science Fiction Family TV Movie,zombies 3,Paul Hoen Milo Manheim Meg Donnelly Paul Hoen Music Fantasy Comedy Science Fiction Family TV Movie
"Anthony Russo, Joe Russo",Ryan Gosling,Chris Evans,Ana de Armas,Action Thriller,the gray man,"Ryan Gosling Chris Evans Ana de Armas Anthony Russo, Joe Russo Action Thriller"
